time,travelReason,trips
3:10 AM,otherTrip,8348.952507
3:15 AM,travelToWork,6295.641239
3:15 AM,returnHomeFromWork,2622.858597
3:15 AM,travelToClass,0
3:15 AM,returnHomeFromNonworkLoc,1659.886571
3:15 AM,otherTrip,8343.923381
3:20 AM,travelToWork,8076.076181
3:20 AM,returnHomeFromWork,2825.043442
3:20 AM,travelToClass,0
3:20 AM,returnHomeFromNonworkLoc,2502.950345
3:20 AM,otherTrip,9415.551186
3:25 AM,travelToWork,9612.974772
3:25 AM,returnHomeFromWork,2861.503583
3:25 AM,travelToClass,0
3:25 AM,returnHomeFromNonworkLoc,2792.592395
3:25 AM,otherTrip,9791.19662
3:30 AM,travelToWork,11243.05254
3:30 AM,returnHomeFromWork,2874.474715
3:30 AM,travelToClass,0
3:30 AM,returnHomeFromNonworkLoc,2855.396718
3:30 AM,otherTrip,9812.095998
3:35 AM,travelToWork,13080.58995
3:35 AM,returnHomeFromWork,2887.445846
3:35 AM,travelToClass,0
3:35 AM,returnHomeFromNonworkLoc,2786.478326
3:35 AM,otherTrip,11738.73895
3:40 AM,travelToWork,14917.86074
3:40 AM,returnHomeFromWork,2993.359669
3:40 AM,travelToClass,0
3:40 AM,returnHomeFromNonworkLoc,2717.559934
3:40 AM,otherTrip,12308.60907
3:45 AM,travelToWork,15188.73252
3:45 AM,returnHomeFromWork,2920.059368
3:45 AM,travelToClass,0
3:45 AM,returnHomeFromNonworkLoc,2055.788297
3:45 AM,otherTrip,12313.43335
3:50 AM,travelToWork,17554.97068
3:50 AM,returnHomeFromWork,3023.422085
3:50 AM,travelToClass,0
3:50 AM,returnHomeFromNonworkLoc,1878.450431
3:50 AM,otherTrip,13054.35346
3:55 AM,travelToWork,18940.822
3:55 AM,returnHomeFromWork,3332.740922
3:55 AM,travelToClass,0
3:55 AM,returnHomeFromNonworkLoc,1934.7385
3:55 AM,otherTrip,13490.42024
4:00 AM,travelToWork,20149.91907
4:00 AM,returnHomeFromWork,3590.124362
4:00 AM,travelToClass,0
4:00 AM,returnHomeFromNonworkLoc,1954.048821
4:00 AM,otherTrip,14006.90329
4:05 AM,travelToWork,21202.3211
4:05 AM,returnHomeFromWork,3776.306901
4:05 AM,travelToClass,0
4:05 AM,returnHomeFromNonworkLoc,1973.359142
4:05 AM,otherTrip,15295.72851
4:10 AM,travelToWork,23308.84514
4:10 AM,returnHomeFromWork,3989.675574
4:10 AM,travelToClass,0
4:10 AM,returnHomeFromNonworkLoc,1987.841883
4:10 AM,otherTrip,16823.86801
4:15 AM,travelToWork,22978.75939
4:15 AM,returnHomeFromWork,3977.22643
4:15 AM,travelToClass,0
4:15 AM,returnHomeFromNonworkLoc,2011.979784
4:15 AM,otherTrip,17852.28013
4:20 AM,travelToWork,26890.96889
4:20 AM,returnHomeFromWork,3855.727911
4:20 AM,travelToClass,0
4:20 AM,returnHomeFromNonworkLoc,1440.54928
4:20 AM,otherTrip,20372.34627
4:25 AM,travelToWork,29311.69144
4:25 AM,returnHomeFromWork,3493.428421
4:25 AM,travelToClass,0
4:25 AM,returnHomeFromNonworkLoc,869.1187753
4:25 AM,otherTrip,21118.22196
4:30 AM,travelToWork,32623.00809
4:30 AM,returnHomeFromWork,3079.912299
4:30 AM,travelToClass,0
4:30 AM,returnHomeFromNonworkLoc,385.1301369
4:30 AM,otherTrip,21656.00449
4:35 AM,travelToWork,36578.58908
4:35 AM,returnHomeFromWork,2738.176132
4:35 AM,travelToClass,0
4:35 AM,returnHomeFromNonworkLoc,464.233233
4:35 AM,otherTrip,22287.38333
4:40 AM,travelToWork,42369.01673
4:40 AM,returnHomeFromWork,2474.082578
4:40 AM,travelToClass,0
4:40 AM,returnHomeFromNonworkLoc,459.229971
4:40 AM,otherTrip,23179.8129
4:45 AM,travelToWork,43992.58851
4:45 AM,returnHomeFromWork,2091.038688
4:45 AM,travelToClass,0
4:45 AM,returnHomeFromNonworkLoc,509.1608866
4:45 AM,otherTrip,23288.28145
4:50 AM,travelToWork,55182.64759
4:50 AM,returnHomeFromWork,2527.352725
4:50 AM,travelToClass,793.1447398
4:50 AM,returnHomeFromNonworkLoc,700.1936702
4:50 AM,otherTrip,28465.32227
4:55 AM,travelToWork,63704.47048
4:55 AM,returnHomeFromWork,2959.636257
4:55 AM,travelToClass,793.1447398
4:55 AM,returnHomeFromNonworkLoc,838.7613341
4:55 AM,otherTrip,31671.31064
5:00 AM,travelToWork,71088.65318
5:00 AM,returnHomeFromWork,3359.785488
5:00 AM,travelToClass,758.8006215
5:00 AM,returnHomeFromNonworkLoc,863.3964993
5:00 AM,otherTrip,35202.96496
5:05 AM,travelToWork,80052.52138
5:05 AM,returnHomeFromWork,3825.024973
5:05 AM,travelToClass,1192.743309
5:05 AM,returnHomeFromNonworkLoc,914.2642244
5:05 AM,otherTrip,39986.52452
5:10 AM,travelToWork,90733.09934
5:10 AM,returnHomeFromWork,4166.1053
5:10 AM,travelToClass,1485.863687
5:10 AM,returnHomeFromNonworkLoc,943.5067644
5:10 AM,otherTrip,44295.50528
5:15 AM,travelToWork,92331.9202
5:15 AM,returnHomeFromWork,3980.564066
5:15 AM,travelToClass,1465.399779
5:15 AM,returnHomeFromNonworkLoc,831.6474364
5:15 AM,otherTrip,44575.54717
5:20 AM,travelToWork,106686.2271
5:20 AM,returnHomeFromWork,4025.208417
5:20 AM,travelToClass,1503.724159
5:20 AM,returnHomeFromNonworkLoc,1000.181948
5:20 AM,otherTrip,51003.92803
5:25 AM,travelToWork,119133.0963
5:25 AM,returnHomeFromWork,4059.225386
5:25 AM,travelToClass,1562.655011
5:25 AM,returnHomeFromNonworkLoc,1337.153858
5:25 AM,otherTrip,56133.6461
5:30 AM,travelToWork,130440.8727
